n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .961E+00  .644E+00  .851E+00  .145E+00  .790E+00
 2  .961E+00  .645E+00  .849E+00  .145E+00  .790E+00
 3  .961E+00  .646E+00  .847E+00  .144E+00  .790E+00
 4  .960E+00  .647E+00  .846E+00  .143E+00  .790E+00
 5  .960E+00  .648E+00  .844E+00  .142E+00  .791E+00
 6  .960E+00  .649E+00  .842E+00  .142E+00  .791E+00
 7  .959E+00  .651E+00  .840E+00  .141E+00  .791E+00
 8  .959E+00  .653E+00  .838E+00  .139E+00  .792E+00
 9  .959E+00  .656E+00  .835E+00  .138E+00  .794E+00
10  .959E+00  .658E+00  .833E+00  .137E+00  .794E+00
11  .959E+00  .660E+00  .830E+00  .135E+00  .795E+00
12  .958E+00  .663E+00  .827E+00  .134E+00  .796E+00
13  .958E+00  .666E+00  .824E+00  .132E+00  .798E+00
14  .958E+00  .670E+00  .821E+00  .130E+00  .800E+00
15  .958E+00  .673E+00  .817E+00  .128E+00  .801E+00
16  .958E+00  .678E+00  .813E+00  .125E+00  .803E+00
17  .959E+00  .684E+00  .816E+00  .124E+00  .808E+00
18  .963E+00  .692E+00  .825E+00  .122E+00  .814E+00
19  .966E+00  .701E+00  .834E+00  .120E+00  .822E+00
20  .969E+00  .712E+00  .844E+00  .118E+00  .830E+00
21  .973E+00  .725E+00  .855E+00  .114E+00  .839E+00
22  .976E+00  .740E+00  .865E+00  .110E+00  .850E+00
23  .980E+00  .760E+00  .875E+00  .103E+00  .863E+00
24  .984E+00  .784E+00  .885E+00  .939E-01  .878E+00
n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .114E-02  .000E+00  .737E+00  .420E-03  .420E-03
 2  .123E-02  .000E+00  .734E+00  .451E-03  .451E-03
 3  .129E-02  .000E+00  .731E+00  .473E-03  .473E-03
 4  .137E-02  .000E+00  .729E+00  .500E-03  .500E-03
 5  .146E-02  .000E+00  .725E+00  .528E-03  .528E-03
 6  .156E-02  .000E+00  .722E+00  .563E-03  .563E-03
 7  .168E-02  .000E+00  .719E+00  .604E-03  .604E-03
 8  .183E-02  .000E+00  .716E+00  .655E-03  .655E-03
 9  .202E-02  .000E+00  .712E+00  .719E-03  .719E-03
10  .225E-02  .000E+00  .709E+00  .799E-03  .799E-03
11  .257E-02  .000E+00  .704E+00  .904E-03  .904E-03
12  .299E-02  .000E+00  .700E+00  .105E-02  .105E-02
13  .356E-02  .000E+00  .696E+00  .124E-02  .124E-02
14  .439E-02  .000E+00  .691E+00  .152E-02  .152E-02
15  .563E-02  .000E+00  .685E+00  .193E-02  .193E-02
16  .754E-02  .000E+00  .679E+00  .256E-02  .256E-02
17  .112E-01  .000E+00  .682E+00  .380E-02  .380E-02
18  .185E-01  .138E-39  .695E+00  .644E-02  .644E-02
19  .350E-01  .624E-23  .719E+00  .126E-01  .126E-01
20  .725E-01  .314E-12  .744E+00  .270E-01  .270E-01
21  .163E+00  .639E-06  .769E+00  .626E-01  .626E-01
22  .379E+00  .155E-02  .802E+00  .152E+00  .153E+00
23  .724E+00  .712E-01  .842E+00  .283E+00  .354E+00
24  .932E+00  .422E+00  .874E+00  .235E+00  .657E+00
