    rho	     ne         ti         te  
  .863E+00  .202E+20  .294E+03  .240E+03
  .869E+00  .199E+20  .287E+03  .231E+03
  .875E+00  .196E+20  .280E+03  .221E+03
  .880E+00  .193E+20  .274E+03  .212E+03
  .886E+00  .189E+20  .267E+03  .203E+03
  .892E+00  .186E+20  .261E+03  .194E+03
  .898E+00  .183E+20  .255E+03  .185E+03
  .903E+00  .179E+20  .249E+03  .177E+03
  .909E+00  .175E+20  .244E+03  .168E+03
  .915E+00  .171E+20  .238E+03  .159E+03
  .920E+00  .167E+20  .233E+03  .150E+03
  .926E+00  .163E+20  .228E+03  .141E+03
  .932E+00  .159E+20  .223E+03  .132E+03
  .937E+00  .154E+20  .218E+03  .123E+03
  .943E+00  .149E+20  .213E+03  .114E+03
  .949E+00  .145E+20  .209E+03  .104E+03
  .954E+00  .139E+20  .204E+03  .949E+02
  .960E+00  .134E+20  .200E+03  .854E+02
  .966E+00  .129E+20  .196E+03  .761E+02
  .972E+00  .123E+20  .192E+03  .671E+02
  .977E+00  .116E+20  .189E+03  .586E+02
  .983E+00  .108E+20  .185E+03  .509E+02
  .989E+00  .984E+19  .182E+03  .439E+02
  .994E+00  .862E+19  .178E+03  .379E+02
  .100E+01  .680E+19  .175E+03  .329E+02
