n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .963E+00  .601E+00  .880E+00  .169E+00  .770E+00
 2  .962E+00  .599E+00  .878E+00  .170E+00  .768E+00
 3  .962E+00  .596E+00  .877E+00  .170E+00  .767E+00
 4  .961E+00  .594E+00  .876E+00  .171E+00  .765E+00
 5  .960E+00  .593E+00  .875E+00  .171E+00  .764E+00
 6  .960E+00  .590E+00  .874E+00  .172E+00  .762E+00
 7  .959E+00  .588E+00  .872E+00  .172E+00  .761E+00
 8  .958E+00  .586E+00  .871E+00  .173E+00  .759E+00
 9  .957E+00  .583E+00  .869E+00  .173E+00  .757E+00
10  .957E+00  .581E+00  .867E+00  .174E+00  .755E+00
11  .956E+00  .578E+00  .866E+00  .174E+00  .753E+00
12  .955E+00  .576E+00  .864E+00  .175E+00  .751E+00
13  .954E+00  .574E+00  .862E+00  .175E+00  .749E+00
14  .953E+00  .571E+00  .860E+00  .176E+00  .747E+00
15  .952E+00  .570E+00  .858E+00  .175E+00  .746E+00
16  .951E+00  .571E+00  .855E+00  .174E+00  .745E+00
17  .951E+00  .575E+00  .852E+00  .172E+00  .747E+00
18  .950E+00  .584E+00  .846E+00  .167E+00  .751E+00
19  .950E+00  .601E+00  .836E+00  .158E+00  .760E+00
20  .951E+00  .631E+00  .818E+00  .143E+00  .774E+00
21  .967E+00  .688E+00  .851E+00  .128E+00  .817E+00
22  .980E+00  .754E+00  .879E+00  .106E+00  .860E+00
23  .988E+00  .819E+00  .895E+00  .800E-01  .899E+00
24  .993E+00  .876E+00  .906E+00  .559E-01  .932E+00
n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .836E-03  .000E+00  .783E+00  .327E-03  .327E-03
 2  .924E-03  .000E+00  .781E+00  .361E-03  .361E-03
 3  .978E-03  .000E+00  .780E+00  .381E-03  .381E-03
 4  .104E-02  .000E+00  .778E+00  .404E-03  .404E-03
 5  .111E-02  .000E+00  .776E+00  .429E-03  .429E-03
 6  .118E-02  .000E+00  .774E+00  .458E-03  .458E-03
 7  .128E-02  .000E+00  .771E+00  .492E-03  .492E-03
 8  .139E-02  .000E+00  .769E+00  .534E-03  .534E-03
 9  .153E-02  .000E+00  .766E+00  .586E-03  .586E-03
10  .171E-02  .000E+00  .764E+00  .654E-03  .654E-03
11  .195E-02  .000E+00  .761E+00  .743E-03  .743E-03
12  .229E-02  .000E+00  .758E+00  .867E-03  .867E-03
13  .276E-02  .000E+00  .755E+00  .104E-02  .104E-02
14  .345E-02  .000E+00  .752E+00  .130E-02  .130E-02
15  .450E-02  .000E+00  .748E+00  .168E-02  .168E-02
16  .620E-02  .000E+00  .744E+00  .231E-02  .231E-02
17  .913E-02  .000E+00  .739E+00  .337E-02  .337E-02
18  .148E-01  .000E+00  .731E+00  .540E-02  .540E-02
19  .281E-01  .328E-28  .716E+00  .101E-01  .101E-01
20  .782E-01  .305E-10  .714E+00  .279E-01  .279E-01
21  .447E+00  .681E-02  .787E+00  .175E+00  .181E+00
22  .980E+00  .750E+00  .880E+00  .108E+00  .858E+00
23  .982E+00  .749E+00  .894E+00  .110E+00  .859E+00
24  .989E+00  .816E+00  .902E+00  .821E-01  .898E+00
