    rho	     ne         ti         te  
  .863E+00  .207E+20  .281E+03  .198E+03
  .869E+00  .203E+20  .278E+03  .190E+03
  .875E+00  .199E+20  .274E+03  .182E+03
  .881E+00  .195E+20  .271E+03  .174E+03
  .886E+00  .191E+20  .267E+03  .167E+03
  .892E+00  .187E+20  .263E+03  .159E+03
  .898E+00  .182E+20  .259E+03  .151E+03
  .903E+00  .177E+20  .255E+03  .143E+03
  .909E+00  .172E+20  .251E+03  .135E+03
  .915E+00  .167E+20  .246E+03  .127E+03
  .920E+00  .162E+20  .241E+03  .119E+03
  .926E+00  .156E+20  .236E+03  .111E+03
  .932E+00  .150E+20  .231E+03  .103E+03
  .937E+00  .144E+20  .226E+03  .943E+02
  .943E+00  .137E+20  .220E+03  .857E+02
  .949E+00  .130E+20  .214E+03  .769E+02
  .954E+00  .122E+20  .207E+03  .678E+02
  .960E+00  .112E+20  .200E+03  .584E+02
  .966E+00  .101E+20  .193E+03  .488E+02
  .972E+00  .877E+19  .185E+03  .395E+02
  .977E+00  .728E+19  .177E+03  .314E+02
  .983E+00  .580E+19  .168E+03  .256E+02
  .989E+00  .458E+19  .159E+03  .224E+02
  .994E+00  .374E+19  .150E+03  .209E+02
  .100E+01  .301E+19  .140E+03  .202E+02
