    rho	     ne         ti         te  
  .863E+00  .254E+20  .410E+03  .410E+03
  .869E+00  .254E+20  .404E+03  .403E+03
  .875E+00  .253E+20  .397E+03  .394E+03
  .881E+00  .252E+20  .390E+03  .385E+03
  .886E+00  .251E+20  .383E+03  .376E+03
  .892E+00  .250E+20  .377E+03  .367E+03
  .898E+00  .250E+20  .372E+03  .359E+03
  .903E+00  .249E+20  .365E+03  .350E+03
  .909E+00  .248E+20  .359E+03  .340E+03
  .915E+00  .247E+20  .353E+03  .330E+03
  .920E+00  .246E+20  .347E+03  .320E+03
  .926E+00  .245E+20  .342E+03  .311E+03
  .932E+00  .244E+20  .336E+03  .299E+03
  .937E+00  .243E+20  .329E+03  .286E+03
  .943E+00  .242E+20  .323E+03  .271E+03
  .949E+00  .240E+20  .316E+03  .253E+03
  .954E+00  .239E+20  .309E+03  .232E+03
  .960E+00  .237E+20  .302E+03  .212E+03
  .966E+00  .235E+20  .295E+03  .184E+03
  .972E+00  .231E+20  .286E+03  .153E+03
  .977E+00  .223E+20  .277E+03  .121E+03
  .983E+00  .207E+20  .268E+03  .909E+02
  .989E+00  .184E+20  .260E+03  .694E+02
  .994E+00  .143E+20  .249E+03  .489E+02
  .100E+01  .945E+19  .238E+03  .342E+02
