   n0    forbl   xmorbl  eorbl
  1      .028      .035      .061
  2      .032      .039      .068
  3      .036      .043      .075
  4      .041      .046      .083
  5      .045      .050      .091
  6      .051      .053      .100
  7      .057      .057      .111
  8      .065      .061      .125
  9      .073      .065      .139
 10      .084      .068      .158
 11      .096      .071      .178
 12      .110      .073      .203
 13      .128      .073      .231
 14      .149      .072      .262
 15      .172      .069      .293
 16      .202      .064      .329
 17      .229      .059      .358
 18      .263      .052      .390
 19      .299      .045      .418
 20      .341      .036      .445
 21      .405      .021      .477
 22      .469      .006      .496
 23      .499      .000      .500
 24      .499      .000      .500
  n0   intrinD   intrinC  NBIreturn   Snbi      dFdr
  1  .209E+05  .854E+04  .000E+00  .000E+00  .742E+00
  2  .232E+05  .948E+04  .000E+00  .000E+00  .788E+00
  3  .255E+05  .104E+05  .000E+00  .000E+00  .763E+00
  4  .275E+05  .112E+05  .000E+00  .000E+00  .819E+00
  5  .294E+05  .120E+05  .000E+00  .000E+00  .939E+00
  6  .313E+05  .128E+05  .000E+00  .000E+00  .114E+01
  7  .334E+05  .136E+05  .000E+00  .000E+00  .133E+01
  8  .355E+05  .145E+05  .000E+00  .000E+00  .148E+01
  9  .373E+05  .152E+05  .000E+00  .000E+00  .185E+01
 10  .390E+05  .159E+05  .000E+00  .000E+00  .217E+01
 11  .403E+05  .164E+05  .000E+00  .000E+00  .257E+01
 12  .409E+05  .167E+05  .000E+00  .000E+00  .315E+01
 13  .407E+05  .166E+05  .000E+00  .000E+00  .376E+01
 14  .395E+05  .161E+05  .000E+00  .000E+00  .398E+01
 15  .371E+05  .152E+05  .000E+00  .000E+00  .530E+01
 16  .337E+05  .138E+05  .000E+00  .000E+00  .481E+01
 17  .295E+05  .120E+05  .000E+00  .000E+00  .600E+01
 18  .245E+05  .999E+04  .000E+00  .000E+00  .633E+01
 19  .192E+05  .784E+04  .000E+00  .000E+00  .737E+01
 20  .137E+05  .558E+04  .000E+00  .000E+00  .114E+02
 21  .717E+04  .293E+04  .000E+00  .000E+00  .113E+02
 22  .189E+04  .773E+03  .000E+00  .000E+00  .544E+01
 23 -.741E+00 -.302E+00  .000E+00  .000E+00  .000E+00
 24 -.724E+00 -.296E+00  .000E+00  .000E+00  .000E+00
 n0         ffrac1    ffrac2    ffrac3         nbdep1    nbilost   nbitot
 1         .00         .00         .00       .00      .000E+00    .000E+00
 2         .00         .00         .00       .00      .000E+00    .000E+00
 3         .00         .00         .00       .00      .000E+00    .000E+00
 4         .00         .00         .00       .00      .000E+00    .000E+00
 5         .00         .00         .00       .00      .000E+00    .000E+00
 6         .00         .00         .00       .00      .000E+00    .000E+00
 7         .00         .00         .00       .00      .000E+00    .000E+00
 8         .00         .00         .00       .00      .000E+00    .000E+00
 9         .00         .00         .00       .00      .000E+00    .000E+00
10         .00         .00         .00       .00      .000E+00    .000E+00
11         .00         .00         .00       .00      .000E+00    .000E+00
12         .00         .00         .00       .00      .000E+00    .000E+00
13         .00         .00         .00       .00      .000E+00    .000E+00
14         .00         .00         .00       .00      .000E+00    .000E+00
15         .00         .00         .00       .00      .000E+00    .000E+00
16         .00         .00         .00       .00      .000E+00    .000E+00
17         .00         .00         .00       .00      .000E+00    .000E+00
18         .00         .00         .00       .00      .000E+00    .000E+00
19         .00         .00         .00       .00      .000E+00    .000E+00
20         .00         .00         .00       .00      .000E+00    .000E+00
21         .00         .00         .00       .00      .000E+00    .000E+00
22         .00         .00         .00       .00      .000E+00    .000E+00
23         .00         .00         .00       .00      .000E+00    .000E+00
24         .00         .00         .00       .00      .000E+00    .000E+00
25         .00         .00         .00       .00      .000E+00    .000E+00
26         .00         .00         .00       .00      .000E+00    .000E+00
27         .00         .00         .00       .00      .000E+00    .000E+00
28         .00         .00         .00       .00      .000E+00    .000E+00
29         .00         .00         .00       .00      .000E+00    .000E+00
30         .00         .00         .00       .00      .000E+00    .000E+00
31         .00         .00         .00       .00      .000E+00    .000E+00
32         .00         .00         .00       .00      .000E+00    .000E+00
33         .00         .00         .00       .00      .000E+00    .000E+00
34         .00         .00         .00       .00      .000E+00    .000E+00
35         .00         .00         .00       .00      .000E+00    .000E+00
36         .00         .00         .00       .00      .000E+00    .000E+00
37         .00         .00         .00       .00      .000E+00    .000E+00
38         .00         .00         .00       .00      .000E+00    .000E+00
39         .00         .00         .00       .00      .000E+00    .000E+00
40         .00         .00         .00       .00      .000E+00    .000E+00
41         .00         .00         .00       .00      .000E+00    .000E+00
42         .00         .00         .00       .00      .000E+00    .000E+00
43         .00         .00         .00       .00      .000E+00    .000E+00
44         .00         .00         .00       .00      .000E+00    .000E+00
45         .00         .00         .00       .00      .000E+00    .000E+00
46         .00         .00         .00       .00      .000E+00    .000E+00
47         .00         .00         .00       .00      .000E+00    .000E+00
48         .00         .00         .00       .00      .000E+00    .000E+00
49         .00         .00         .00       .00      .000E+00    .000E+00
50         .00         .00         .00       .00      .000E+00    .000E+00
