    rho	     ne         ti         te  
  .851E+00  .107E+20  .721E+03  .343E+03
  .857E+00  .106E+20  .710E+03  .329E+03
  .863E+00  .104E+20  .700E+03  .316E+03
  .870E+00  .103E+20  .691E+03  .304E+03
  .876E+00  .101E+20  .680E+03  .290E+03
  .882E+00  .991E+19  .670E+03  .277E+03
  .888E+00  .977E+19  .661E+03  .265E+03
  .894E+00  .958E+19  .650E+03  .252E+03
  .901E+00  .939E+19  .640E+03  .240E+03
  .907E+00  .922E+19  .632E+03  .229E+03
  .913E+00  .903E+19  .621E+03  .217E+03
  .919E+00  .883E+19  .611E+03  .204E+03
  .925E+00  .867E+19  .603E+03  .194E+03
  .932E+00  .847E+19  .592E+03  .181E+03
  .938E+00  .827E+19  .582E+03  .169E+03
  .944E+00  .811E+19  .574E+03  .159E+03
  .950E+00  .790E+19  .564E+03  .147E+03
  .957E+00  .774E+19  .555E+03  .137E+03
  .963E+00  .753E+19  .545E+03  .126E+03
  .969E+00  .732E+19  .535E+03  .115E+03
  .975E+00  .714E+19  .527E+03  .106E+03
  .981E+00  .693E+19  .517E+03  .943E+02
  .988E+00  .672E+19  .507E+03  .830E+02
  .994E+00  .655E+19  .499E+03  .737E+02
  .100E+01  .595E+19  .489E+03  .624E+02
