    rho	     ne         ti         te  
  .856E+00  .590E+20  .104E+04  .860E+03
  .862E+00  .591E+20  .103E+04  .833E+03
  .868E+00  .594E+20  .101E+04  .809E+03
  .874E+00  .598E+20  .990E+03  .788E+03
  .880E+00  .603E+20  .971E+03  .769E+03
  .886E+00  .609E+20  .952E+03  .752E+03
  .892E+00  .614E+20  .931E+03  .737E+03
  .898E+00  .618E+20  .910E+03  .722E+03
  .904E+00  .621E+20  .888E+03  .707E+03
  .910E+00  .623E+20  .865E+03  .692E+03
  .916E+00  .622E+20  .841E+03  .677E+03
  .922E+00  .618E+20  .815E+03  .659E+03
  .928E+00  .611E+20  .789E+03  .640E+03
  .934E+00  .600E+20  .761E+03  .617E+03
  .940E+00  .585E+20  .731E+03  .592E+03
  .946E+00  .565E+20  .700E+03  .563E+03
  .952E+00  .540E+20  .668E+03  .529E+03
  .958E+00  .508E+20  .634E+03  .490E+03
  .964E+00  .471E+20  .598E+03  .445E+03
  .970E+00  .426E+20  .561E+03  .390E+03
  .976E+00  .374E+20  .521E+03  .325E+03
  .982E+00  .314E+20  .480E+03  .249E+03
  .988E+00  .245E+20  .436E+03  .167E+03
  .994E+00  .167E+20  .390E+03  .101E+03
  .100E+01  .767E+19  .342E+03  .705E+02
