n       Rho      T        ne
 1  .893E-02  .209E+04  .114E+21
 2  .268E-01  .209E+04  .114E+21
 3  .446E-01  .208E+04  .114E+21
 4  .625E-01  .207E+04  .113E+21
 5  .804E-01  .206E+04  .113E+21
 6  .982E-01  .204E+04  .112E+21
 7  .116E+00  .203E+04  .111E+21
 8  .134E+00  .200E+04  .110E+21
 9  .152E+00  .198E+04  .109E+21
10  .170E+00  .195E+04  .107E+21
11  .188E+00  .192E+04  .106E+21
12  .205E+00  .189E+04  .104E+21
13  .223E+00  .186E+04  .103E+21
14  .241E+00  .182E+04  .101E+21
15  .259E+00  .178E+04  .989E+20
16  .277E+00  .174E+04  .969E+20
17  .295E+00  .170E+04  .949E+20
18  .313E+00  .165E+04  .928E+20
19  .330E+00  .161E+04  .906E+20
20  .348E+00  .156E+04  .884E+20
21  .366E+00  .151E+04  .861E+20
22  .384E+00  .146E+04  .839E+20
23  .402E+00  .142E+04  .816E+20
24  .420E+00  .137E+04  .793E+20
25  .437E+00  .131E+04  .770E+20
26  .455E+00  .126E+04  .747E+20
27  .473E+00  .121E+04  .725E+20
28  .491E+00  .116E+04  .703E+20
29  .509E+00  .111E+04  .682E+20
30  .527E+00  .107E+04  .661E+20
31  .545E+00  .102E+04  .640E+20
32  .562E+00  .970E+03  .621E+20
33  .580E+00  .925E+03  .602E+20
34  .598E+00  .880E+03  .584E+20
35  .616E+00  .838E+03  .567E+20
36  .634E+00  .797E+03  .551E+20
37  .652E+00  .758E+03  .536E+20
38  .670E+00  .721E+03  .522E+20
39  .687E+00  .686E+03  .509E+20
40  .705E+00  .653E+03  .497E+20
41  .723E+00  .623E+03  .487E+20
42  .741E+00  .595E+03  .477E+20
43  .759E+00  .570E+03  .469E+20
44  .777E+00  .547E+03  .461E+20
45  .795E+00  .527E+03  .455E+20
46  .812E+00  .509E+03  .450E+20
47  .830E+00  .494E+03  .445E+20
48  .848E+00  .481E+03  .442E+20
49  .866E+00  .470E+03  .439E+20
50  .884E+00  .462E+03  .437E+20
51  .902E+00  .455E+03  .435E+20
52  .920E+00  .451E+03  .434E+20
53  .937E+00  .447E+03  .434E+20
54  .955E+00  .446E+03  .434E+20
55  .973E+00  .445E+03  .434E+20
 56  .991E+00  .445E+03  .433E+20
 57  .101E+01  .211E+03  .171E+20
 58  .103E+01  .831E+02  .190E+19
