   vph1      vph2      vphi1ex    torv      vpol61   vpol62    vpol1ex  vthexp    eradtot
 -.835E+11 -.835E+11  .401E+05  .384E+05  .921E+03 -.547E+03  .268E+04 -.360E+03  .134E+05
 -.112E+13 -.112E+13  .379E+05  .375E+05  .970E+03  .555E+03  .298E+04 -.174E+03  .134E+05
 -.236E+12 -.236E+12  .370E+05  .366E+05  .988E+03  .579E+03  .305E+04  .341E+01  .132E+05
 -.253E+12 -.253E+12  .361E+05  .356E+05  .102E+04  .611E+03  .309E+04  .163E+03  .130E+05
  .982E+11  .982E+11  .351E+05  .345E+05  .106E+04  .651E+03  .313E+04  .292E+03  .127E+05
  .996E+11  .996E+11  .340E+05  .334E+05  .109E+04  .691E+03  .313E+04  .381E+03  .123E+05
 -.965E+12 -.965E+12  .330E+05  .323E+05  .114E+04  .745E+03  .307E+04  .418E+03  .118E+05
 -.535E+12 -.535E+12  .319E+05  .311E+05  .120E+04  .808E+03  .299E+04  .392E+03  .113E+05
  .907E+12  .907E+12  .308E+05  .298E+05  .126E+04  .878E+03  .286E+04  .293E+03  .106E+05
  .320E+12  .320E+12  .297E+05  .285E+05  .134E+04  .967E+03  .262E+04  .113E+03  .967E+04
  .199E+12  .199E+12  .286E+05  .271E+05  .142E+04  .107E+04  .233E+04 -.126E+03  .865E+04
 -.275E+12 -.275E+12  .274E+05  .256E+05  .152E+04  .119E+04  .203E+04 -.393E+03  .752E+04
  .422E+12  .422E+12  .262E+05  .240E+05  .166E+04  .135E+04  .173E+04 -.656E+03  .634E+04
 -.595E+12 -.595E+12  .250E+05  .222E+05  .181E+04  .153E+04  .149E+04 -.884E+03  .511E+04
 -.384E+13 -.384E+13  .236E+05  .202E+05  .200E+04  .177E+04  .134E+04 -.105E+04  .384E+04
 -.116E+13 -.116E+13  .222E+05  .180E+05  .225E+04  .205E+04  .138E+04 -.111E+04  .258E+04
  .679E+12  .679E+12  .210E+05  .158E+05  .258E+04  .243E+04  .167E+04 -.104E+04  .128E+04
  .394E+13  .394E+13  .202E+05  .138E+05  .310E+04  .296E+04  .242E+04 -.876E+03 -.152E+03
  .378E+13  .378E+13  .207E+05  .126E+05  .390E+04  .371E+04  .324E+04 -.165E+04 -.319E+04
  .244E+13  .244E+13  .229E+05  .125E+05  .533E+04  .491E+04  .337E+04 -.466E+04 -.103E+05
 -.116E+14 -.116E+14  .269E+05  .134E+05  .741E+04  .644E+04  .394E+04 -.818E+04 -.187E+05
 -.466E+14 -.466E+14  .317E+05  .149E+05  .108E+05  .823E+04  .689E+04 -.989E+04 -.244E+05
  .124E+14  .124E+14  .313E+05  .161E+05  .162E+05  .968E+04  .118E+05 -.860E+04 -.260E+05
 -.152E+15 -.152E+15  .217E+05  .166E+05  .249E+05  .998E+04  .200E+05 -.338E+04 -.212E+05
  .439E+13  .439E+13  .159E+05  .156E+05 -.357E+00  .608E-02  .293E+05  .674E+04 -.850E+04
