    rho	     ne         ti         te  
  .864E+00  .314E+20  .512E+03  .468E+03
  .869E+00  .314E+20  .502E+03  .455E+03
  .875E+00  .314E+20  .491E+03  .442E+03
  .881E+00  .314E+20  .481E+03  .428E+03
  .886E+00  .313E+20  .471E+03  .415E+03
  .892E+00  .313E+20  .460E+03  .402E+03
  .898E+00  .312E+20  .449E+03  .388E+03
  .903E+00  .311E+20  .438E+03  .375E+03
  .909E+00  .311E+20  .427E+03  .361E+03
  .915E+00  .310E+20  .416E+03  .347E+03
  .920E+00  .309E+20  .404E+03  .333E+03
  .926E+00  .309E+20  .392E+03  .319E+03
  .932E+00  .307E+20  .380E+03  .305E+03
  .937E+00  .305E+20  .368E+03  .291E+03
  .943E+00  .303E+20  .356E+03  .275E+03
  .949E+00  .298E+20  .344E+03  .259E+03
  .955E+00  .291E+20  .331E+03  .239E+03
  .960E+00  .278E+20  .318E+03  .210E+03
  .966E+00  .258E+20  .306E+03  .164E+03
  .972E+00  .226E+20  .293E+03  .107E+03
  .977E+00  .183E+20  .279E+03  .637E+02
  .983E+00  .135E+20  .266E+03  .428E+02
  .989E+00  .894E+19  .253E+03  .336E+02
  .994E+00  .544E+19  .243E+03  .285E+02
  .100E+01  .291E+19  .238E+03  .246E+02
